time,px,py,pz,vx,vy,vz,qw,qx,qy,qz,drag_x,drag_y,drag_z,density,pressure,temperature,latitude,longitude,altitude
358.0,6937650.007863395,1629866.38867129,1962749.649262561,-2556.917711950237,4359.173793994404,5248.920358172005,0.9999999998721604,1.320543846642273e-15,1.313571327015296e-05,-9.117683652022138e-06,3.988338530259806e-07,-1.443910985500462e-06,-3.474026038674521e-06,4.85719638387982e-15,9.602944729616122e-09,1142.748987414023,15.398324692710727,11.725033196625182,1020876.5047995532
385.0,6866123.702346049,1746963.126781289,2103745.047508599,-2741.022826602443,4314.134771553293,5194.550852237106,0.9999999998020465,2.355620885490001e-15,1.634563072742226e-05,-1.134581036252773e-05,4.428890633869015e-07,-1.449989133988944e-06,-3.467305705724219e-06,4.904270473566912e-15,9.672615822422848e-09,1144.566534490061,16.537967306252558,12.66644416518251,1019620.9540990964
408.0,6804184.015777916,1841448.741033702,2217511.700469495,-2889.642855527542,4275.121595431734,5147.455803649258,0.9999999997235965,3.662281801163913e-15,1.931483163115723e-05,-1.3406868007277e-05,4.818203619777683e-07,-1.453617642474743e-06,-3.457896515920201e-06,4.945558723719342e-15,9.733050138206415e-09,1146.044924176207,17.462898777541337,13.438813593770929,1018533.931726777
427.0,6746559.805070542,1924462.037651811,2317462.68474642,-3020.26936088032,4238.817601292869,5103.631398714577,0.999999999633964,5.306588386139951e-15,2.222697772458115e-05,-1.542834013495928e-05,5.149293460648953e-07,-1.455517754446274e-06,-3.447539745148733e-06,4.980492398572648e-15,9.783711299222724e-09,1147.216683256732,18.279765753360916,14.13680722129523,1017521.9518485907
446.0,6686400.567704917,2006752.199634653,2416540.738644964,-3149.808790501062,4200.907281062393,5057.868164421614,0.9999999995214529,7.556256214329752e-15,2.541440624670195e-05,-1.764092030325504e-05,5.488745825853209e-07,-1.456407908099757e-06,-3.434825771513527e-06,5.01617385016971e-15,9.835025492325456e-09,1148.342822554203,19.093673206811115,14.842363882785083,1016467.5013886793
467.0,6620443.166949425,2092447.400940454,2519715.93603126,-3284.765548483864,4159.332281862249,5007.681434900246,0.9999999993736686,1.077086957520635e-14,2.90749450649881e-05,-2.018193864625438e-05,5.873395390358863e-07,-1.456198362602199e-06,-3.418012059288879e-06,5.056480855968512e-15,9.89248372974254e-09,1149.533508659651,19.945933428331898,15.588423460173741,1015309.7857319573
488.0,6550023.283578884,2179330.369145699,2624318.332983536,-3421.656103699971,4114.931860697306,4954.084392248813,0.999999999184966,1.522877531540652e-14,3.316681289603116e-05,-2.302240016327756e-05,6.267676411272382e-07,-1.454716813294769e-06,-3.39828139680929e-06,5.097699547052801e-15,9.950701272333002e-09,1150.666504656678,20.81516166000003,16.364467671651987,1014074.9885251475
509.0,6476745.242967722,2265262.380736012,2727772.806633299,-3557.114924367209,4068.715514874516,4898.295699303823,0.9999999989515096,2.119757174084093e-14,3.761812199635312e-05,-2.611240953797764e-05,6.671248922036126e-07,-1.451944874073007e-06,-3.375619302323374e-06,5.139827351419551e-15,1.000965523188944e-08,1151.740783177186,21.680288328008885,17.150808109400227,1012792.1883332347
531.0,6395091.9632393,2356232.498380488,2837289.185539567,-3700.592434591133,4017.200231717054,4836.111052986568,0.9999999986426422,2.973550528988943e-14,4.280169291597532e-05,-2.971078233109741e-05,7.103607898031242e-07,-1.447638314846189e-06,-3.348722403672425e-06,5.184932183340458e-15,1.007217928608601e-08,1152.802122612435,22.602376389195925,18.007453633863022,1011360.2409454398
551.0,6321730.62212546,2434119.266748375,2931051.801363098,-3823.501592084513,3970.901333291208,4780.223622555063,0.9999999983175645,3.937979161545814e-14,4.765209965511422e-05,-3.30779153528896e-05,7.504787331557956e-07,-1.442462884190553e-06,-3.321462463302244e-06,5.226793866162296e-15,1.012967100661667e-08,1153.709088962011,23.397235340681043,18.75658350067965,1010075.75667316
571.0,6244011.90241526,2513049.298201757,3026067.218492894,-3948.123629650403,3921.836888003594,4720.998387763319,0.9999999979200453,5.194952603895519e-14,5.298326883438203e-05,-3.677883297284978e-05,7.913335523860345e-07,-1.436074459436461e-06,-3.291526135197647e-06,5.269466279046413e-15,1.018775754031671e-08,1154.560014483523,24.208106343259715,19.537797971789523,1008714.3727608519
593.0,6157701.204140418,2596785.773109911,3126864.933306215,-4080.412097969324,3867.329430607075,4655.203545912956,0.9999999974095847,6.915406637138877e-14,5.912830201303736e-05,-4.104478907256186e-05,8.370794661241436e-07,-1.427633284542438e-06,-3.255507538513311e-06,5.317334216219475e-15,1.025230769280805e-08,1155.430258584369,25.074584542986276,20.388211882459373,1007202.0019811383
615.0,6064353.140749184,2683141.236443819,3230811.012508721,-4216.926853435751,3808.355343874798,4584.017854308673,0.9999999967694495,9.215473725408971e-14,6.60309845191921e-05,-4.583677641312268e-05,8.836171378426109e-07,-1.41769890062685e-06,-3.216261523075372e-06,5.366164185884535e-15,1.031750689932319e-08,1156.230470019072,25.975253433025475,21.29722733754214,1005568.6947907824
637.0,5972303.244813535,2764398.307989532,3328615.921219507,-4345.469441981851,3750.178562631735,4513.795320663975,0.9999999960417703,1.199343657906879e-13,7.309014741078825e-05,-5.073746021296483e-05,9.308894310394639e-07,-1.406261206059844e-06,-3.173802781036375e-06,5.415943536509481e-15,1.038331425021435e-08,1156.959493628419,26.829714870953225,22.176556024701384,1003956.8137190919
659.0,5870796.255178136,2849918.169659338,3431546.948054956,-4480.853086683484,3685.998428218653,4436.327303142997,0.9999999951200258,1.57225515902184e-13,8.115510116104553e-05,-5.633647006358637e-05,9.788357668778802e-07,-1.393312568065948e-06,-3.128152650516944e-06,5.466657612293867e-15,1.044968607058723e-08,1157.616182604718,27.736714307159893,23.140430947351863,1002180.9078764189
683.0,5761584.563722893,2937557.421406896,3537023.35486449,-4619.702740024128,3616.915870040888,4352.942928144456,0.9999999939783294,2.061643593501682e-13,9.014968258723442e-05,-6.258095451248777e-05,1.031834195522272e-06,-1.377457774531386e-06,-3.07474626262425e-06,5.52302836379426e-15,1.052268076003853e-08,1158.248737308068,28.674888295006852,24.161242903954008,1000270.8878353871
708.0,5644312.115262524,3027057.357729793,3644732.90469031,-4761.624413171709,3542.698600034163,4263.362089406231,0.9999999925664784,2.70206028368255e-13,0.0001001616735584638,-6.953188095388801e-05,1.087717706120768e-06,-1.359021253867234e-06,-3.015162634318591e-06,5.582882852163811e-15,1.059930303511252e-08,1158.813095843299,29.642629079845772,25.24668342525961,998220.6811858779
732.0,5533317.512887608,3107734.860738966,3741819.128407152,-4889.671390824857,3472.420059818151,4178.536563339094,0.9999999910403811,3.431032083956093e-13,0.0001099632812648582,-7.633684869236527e-05,1.141919043041946e-06,-1.339479785209075e-06,-2.954228702889183e-06,5.641403729968334e-15,1.067335232640126e-08,1159.262618046751,30.523844180725842,26.261977478705266,996280.9809857672
757.0,5404336.300643373,3196960.719764639,3849185.231048525,-5031.422654887565,3390.710907196329,4079.915943542671,0.9999999890189823,4.445580742257817e-13,0.0001217370243145335,-8.451113764415721e-05,1.198847222864451e-06,-1.317212035108553e-06,-2.886943304010288e-06,5.703433414908871e-15,1.075092011921739e-08,1159.633214975975,31.50883910701446,27.443835642917406,994027.8775502145
780.0,5289773.638009092,3272437.692218031,3940000.850697839,-5151.451865980642,3318.09785700264,3992.275486310762,0.9999999869856704,5.513329360139646e-13,0.0001325290061211967,-9.200392178452083e-05,1.251543798764279e-06,-1.295013541971433e-06,-2.821683891934663e-06,5.761432025470637e-15,1.082259938919671e-08,1159.884822778859,32.351110987426786,28.483476379150687,992026.5716161113
805.0,5159351.889907076,3354361.512246352,4038566.252289813,-5281.867995358193,3235.389241800217,3892.451834523322,0.9999999843813743,6.938246776942537e-13,0.0001451843974121999,-0.0001007905856943857,1.309058166175188e-06,-1.269041458351107e-06,-2.74720193936538e-06,5.825445750254169e-15,1.090077095089428e-08,1160.059765968567,33.27528122649284,29.66662845495523,989752.0303880321
839.0,4979549.231110639,3460845.761649283,4166668.701129165,-5451.610684261461,3121.288551360788,3754.743064889123,0.9999999802517832,9.3048389635863e-13,0.0001632527308360938,-0.000113335692668969,1.387443648852331e-06,-1.230683785235868e-06,-2.640195069673209e-06,5.914045005174121e-15,1.100734945692531e-08,1160.130350688853,34.49310172154707,31.29435435520939,986614.5588057116
874.0,4782918.393879065,3569446.299042805,4297300.662635247,-5625.021090587431,2996.406900876849,3604.026719485305,0.9999999749676078,1.248075073805971e-12,0.0001838000140864809,-0.0001276022665397913,1.468003437093999e-06,-1.187626364326168e-06,-2.523514794089789e-06,6.006977398850201e-15,1.111713767728567e-08,1159.998114990615,35.75595293024007,33.08199163627759,983185.7624989599
908.0,4591827.991980592,3667801.472953844,4415592.351083052,-5782.359725594779,2874.941426777952,3457.437371205124,0.9999999690056975,1.621052781983561e-12,0.0002045188222196547,-0.0001419882225208725,1.545763258458719e-06,-1.142442584375593e-06,-2.404257990643383e-06,6.098783584770472e-15,1.122358951707277e-08,1159.667175159475,36.919386697718274,34.8230204242754,979857.6209774371
933.0,4445845.169354318,3738518.116801491,4500632.131909488,-5895.673929353998,2782.079833745016,3345.371087365611,0.9999999638667454,1.951654306103981e-12,0.0002208230494325336,-0.0001533091288467795,1.602403531819964e-06,-1.107188593698221e-06,-2.313133583799988e-06,6.167156746221113e-15,1.130157494385301e-08,1159.29471099531,37.768404813136236,36.16238829243861,977315.9000073085
956.0,4303077.454930431,3804200.87881912,4579609.073275004,-6001.078679514491,2691.205804015503,3235.705760042888,0.9999999583254657,2.31494647785853e-12,0.0002371509279945995,-0.0001646466036162642,1.653960437243742e-06,-1.073296471617525e-06,-2.226931574245087e-06,6.230645654722257e-15,1.13729969917012e-08,1158.854319230038,38.567020189847504,37.48453902318833,974831.4147250531
981.0,4151715.188767044,3870279.593233382,4659051.876303867,-6107.286360822208,2594.798748956322,3119.365826065064,0.9999999518688554,2.744419529718472e-12,0.0002548596611131079,-0.000176943042111675,1.709250092228921e-06,-1.034939956210829e-06,-2.130876366923193e-06,6.300226280996129e-15,1.145016967490563e-08,1158.268483456723,39.38081343176143,38.892025782377296,972198.7256595688
1007.0,3997744.246980721,3933926.418365764,4735560.012571759,-6209.760840992757,2496.663951987971,3000.943658842117,0.9999999446604998,3.228635667189901e-12,0.0002732777093846079,-0.0001897321561647516,1.765749944131399e-06,-9.934579629407075e-07,-2.028635687873859e-06,6.373144842899675e-15,1.152980004618925e-08,1157.539916133393,40.17510631347763,40.33169021272675,969522.1041866066
1033.0,3831791.360042819,3998689.117180785,4813396.964446669,-6314.229033722926,2390.817273742915,2873.218457177608,0.9999999361378081,3.803679802315292e-12,0.0002935668715868794,-0.0002038206855307671,1.821042875058523e-06,-9.504541064110685e-07,-1.924304402694344e-06,6.446545912398426e-15,1.160866076358477e-08,1156.688929630418,40.99455149004085,41.905058631710304,966637.9046736322
1068.0,3608473.326589065,4079881.921804575,4910960.068123099,-6445.520210975928,2248.258986122946,2701.198528390824,0.999999923381224,4.6614132274892e-12,0.0003215517600355015,-0.000223253245428666,1.893233448916378e-06,-8.903607287464636e-07,-1.781131468570871e-06,6.545965978311434e-15,1.171337868808323e-08,1155.349051993887,42.039081804415105,44.04649325823893,962760.6338952864
1103.0,3377411.15353726,4157083.672876582,5003701.575213001,-6570.743338839533,2100.607230576021,2523.038846606708,0.9999999085558292,5.641539825104972e-12,0.0003512849421764908,-0.0002439000259515145,1.962421998853631e-06,-8.280195281963747e-07,-1.635612611092635e-06,6.645895195054212e-15,1.181616719780879e-08,1153.785543655354,43.05156023453735,46.29954619259105,958753.0802288288
1137.0,3152075.901358542,4226061.273529695,5086537.156272549,-6683.008176295269,1956.467369344814,2349.123021219544,0.9999998924334197,6.672648694673147e-12,0.0003809944363415286,-0.0002645305058997304,2.02631499141727e-06,-7.656291322505923e-07,-1.49287715183648e-06,6.743261292429634e-15,1.191390144782858e-08,1152.052700705178,43.973651980225156,48.5315196867942,954847.1604104545
1173.0,2912868.216592717,4292804.30914981,5166659.424694124,-6792.054881651878,1803.29323929364,2164.313625784109,0.9999998734478546,7.822715462792615e-12,0.0004132503412983405,-0.0002869293125463548,2.089926733185352e-06,-6.979866437438653e-07,-1.341279809078338e-06,6.84646671409731e-15,1.201484537262086e-08,1149.989256072377,44.88317906379873,50.94039437242138,950703.3328776592
